especie	corrida	temp	PEL	veloc	acel	sexo	CRC	CC	BC
A_ameiva	2	33.4	1497	7.04E-01	4.12E+00	I	53	112	112
A_ameiva	2	33.4	1497	8.62E-01	5.15E+00	I	53	112	112
A_ameiva	2	33.4	1497	3.82E-01	1.15E+01	I	53	112	112
A_ameiva	2	33.4	1497	2.75E-02	6.79E+00	I	53	112	112
A_ameiva	2	33.4	1497	0.00E+00	4.71E-01	I	53	112	112
A_ameiva	2	33.4	1497	0.00E+00	5.08E+00	I	53	112	112
A_ameiva	2	33.4	1497	2.96E-01	1.08E+01	I	53	112	112
A_ameiva	2	33.4	1497	7.97E-01	9.87E+00	I	53	112	112
A_ameiva	2	33.4	1497	9.54E-01	1.00E+01	I	53	112	112
A_ameiva	2	33.4	1497	1.12E+00	8.92E+00	I	53	112	112
A_ameiva	2	33.4	1497	1.34E+00	8.46E+00	I	53	112	112
A_ameiva	2	33.4	1497	1.59E+00	7.00E+00	I	53	112	112
A_ameiva	2	33.4	1497	1.80E+00	4.53E+00	I	53	112	112
A_ameiva	2	33.4	1497	1.84E+00	2.35E+00	I	53	112	112
A_ameiva	2	33.4	1497	1.83E+00	3.56E+00	I	53	112	112
A_ameiva	2	33.4	1497	1.61E+00	2.58E+00	I	53	112	112
A_ameiva	2	33.4	1497	1.62E+00	5.00E+00	I	53	112	112
A_ameiva	2	33.4	1497	1.45E+00	9.30E+00	I	53	112	112
A_ameiva	2	33.4	1497	1.09E+00	8.72E+00	I	53	112	112
A_ameiva	2	33.4	1497	9.28E-01	4.86E+00	I	53	112	112
A_ameiva	2	33.4	1497	8.00E-01	2.93E+00	I	53	112	112
A_ameiva	2	33.4	1497	7.24E-01	4.36E+00	I	53	112	112
A_ameiva	2	33.4	1497	5.49E-01	4.30E+00	I	53	112	112
A_ameiva	2	33.4	1497	3.84E-01	5.65E+00	I	53	112	112
A_ameiva	2	33.4	1497	2.58E-01	4.72E+00	I	53	112	112
A_ameiva	2	33.4	1497	8.64E-02	4.34E+00	I	53	112	112
A_ameiva	2	33.4	1497	5.47E-02	1.93E+00	I	53	112	112
A_ameiva	2	33.4	1497	5.47E-02	4.67E-01	I	53	112	112
A_ameiva	2	33.4	1497	0.00E+00	9.34E-01	I	53	112	112
A_ameiva	2	33.4	1497	0.00E+00	4.67E-01	I	53	112	112
A_ameiva	2	33.4	1497	2.73E-02	2.33E-01	I	53	112	112
